Izvestaj o ispitivanju materijala u mehanickoj laboratoriji 

OPŠTI PODACI
Operator : test
Br. zb. izveštaja : 20160110
Br. uzorka : 18/1
Šarža : sarza1
Radni nalog : nal1
Naručilac : narucilac1

USLOVI ISPITIVANJA
Standard : iso222
Metoda : met1
Standard za n : n1
Mašina : masina1
Temperatura : 28
Ekstenziometar : NE

MATERIJAL ISPITIVANJA
Proizvodjač : Merkantile
Dobavljač : dob1
Polazni kvalitet : metal
Nazivna debljina : 20x50mm
Način prerade : Liveni

EPRUVETA
Oblik : Obradjena
Tip : Proporcionalna
k : 5.65
Vrsta epruvete : Kružni
S0 : 1.227
L0 : 50
Lc : 75

POLOŽAJ EPRUVETE U ODNOSU NA
Pravac valjanja : 0
Širina trake : 20
Dužina trake : 50


Napomena : napomena


Broj zapisa :  
Sila	a   
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00080	0
-00075	0
-00075	0
-00075	0
-00075	0
-00075	0
-00075	0
-00070	0
-00070	0
-00070	0
-00070	0
-00070	0
-00070	0
-00070	0
-00070	0
-00070	0
-00065	0
-00065	1
-00065	1
-00065	1
-00065	1
-00065	1
-00065	1
-00065	1
-00065	1
-00065	1
-00065	1
-00065	2
-00065	2
-00060	2
-00060	2
-00060	2
-00060	2
-00060	2
-00060	2
-00060	2
-00060	2
-00060	3
-00060	3
-00060	3
-00055	3
-00055	3
-00055	3
-00055	3
-00055	3
-00055	3
-00055	3
-00055	3
-00055	3
-00055	3
-00055	4
-00055	4
-00055	4
-00055	4
-00055	4
-00055	4
-00050	4
-00050	4
-00050	4
-00050	4
-00050	4
-00050	4
-00050	4
-00050	4
-00050	4
-00050	4
-00050	4
-00050	5
-00050	5
-00050	5
-00050	5
-00050	5
-00050	5
-00050	5
-00050	5
-00050	5
-00050	5
-00050	5
-00050	5
-00050	5
-00050	5
-00050	5
-00050	5
-00050	6
-00050	6
-00050	6
-00045	6
-00045	6
-00045	6
-00045	6
-00045	6
-00045	6
-00045	6
-00045	6
-00045	7
-00045	7
-00045	7
-00045	7
-00040	7
-00040	7
-00045	7
-00040	7
-00040	7
-00040	7
-00040	7
-00040	7
-00040	8
-00040	8
-00040	8
-00040	8
-00040	8
-00040	8
-00040	8
-00040	8
-00040	8
-00040	8
-00040	8
-00035	8
-00035	9
-00035	9
-00035	9
-00035	9
-00035	9
-00035	10
-00035	10
-00035	10
-00030	10
-00030	10
-00030	11
-00030	11
-00030	11
-00030	11
-00030	11
-00025	11
-00025	11
-00025	12
-00025	12
-00020	13
-00020	13
-00020	13
-00020	13
-00020	13
-00015	14
-00015	14
-00015	14
-00015	14
-00015	15
-00010	15
-00010	16
-00010	16
-00010	16
-00010	16
-00010	16
-00005	17
-00005	18
-00005	18
000000	18
000000	18
000000	18
000000	18
000000	18
000000	19
000000	19
000000	19
000000	19
000000	20
000000	20
000000	20
000000	20
000005	21
000005	21
000005	21
000005	21
000010	22
000010	22
000010	22
000010	23
000015	23
000015	23
000015	23
000015	24
000015	24
000015	24
000015	24
000020	25
000020	25
000020	25
000020	26
000020	26
000025	26
000025	26
000025	26
000025	27
000025	27
000025	27
000025	27
000030	27
000030	28
000030	28
000030	28
000030	29
000030	29
000035	29
000035	29
000035	30
000035	30
000035	30
000035	30
000035	30
000035	30
000035	30
000040	31
000040	31
000040	31
000040	31
000040	31
000040	31
000040	32
000040	32
000040	32
000040	32
000040	32
000045	32
000045	32
000045	32
000045	33
000045	33
000045	33
000045	33
000045	33
000045	33
000045	33
000045	33
000045	34
000045	34
000045	34
000045	34
000050	34
000050	34
000050	34
000050	34
000050	34
000050	34
000050	34
000050	35
000050	35
000050	35
000050	35
000050	35
000050	35
000050	35
000050	36
000050	36
000050	36
000055	36
000055	36
000055	36
000055	37
000055	37
000055	37
000055	37
000055	37
000055	38
000055	38
000055	38
000060	38
000060	38
000060	38
000060	38
000060	39
000060	39
000060	39
000060	39
000060	39
000060	40
000060	40
000065	40
000065	40
000065	40
000065	41
000065	41
000065	41
000065	41
000065	41
000070	41
000070	42
000070	42
000070	42
000070	42
000070	42
000070	42
000070	42
000070	43
000070	43
000070	43
000070	43
000075	43
000075	43
000075	44
000075	44
000075	44
000075	44
000075	44
000075	44
000075	44
000075	45
000075	45
000075	45
000075	45
000075	45
000075	45
000080	45
000080	46
000080	46
000080	46
000080	46
000080	46
000080	46
000080	47
000080	47
000080	47
000080	47
000080	47
000085	47
000085	48
000085	48
000085	48
000085	48
000085	48
000085	48
000085	48
000085	48
000085	49
000085	49
000085	49
000085	49
000090	49
000090	49
000090	50
000090	50
000090	50
000090	50
000090	50
000090	50
000090	50
000090	50
000090	50
000090	51
000090	51
000090	51
000090	51
000090	51
000095	51
000095	52
000095	52
000095	52
000095	52
000095	52
000095	52
000095	52
000095	52
000095	53
000095	53
000095	53
000095	53
000095	53
000095	53
000100	54
000100	54
000100	54
000100	54
000100	54
000100	54
000100	54
000100	55
000100	55
000100	55
000100	55
000100	55
000100	56
000100	56
000100	56
000100	56
000105	56
000105	56
000105	57
000105	57
000105	57
000105	57
000105	58
000105	58
000105	58
000110	58
000110	58
000110	59
000110	59
000110	59
000110	59
000110	59
000110	59
000110	60
000110	60
000110	60
